"year","seasons","districts","crop_type","production","arable_size","air_temp","atm_pressure","evapo_trans","humidity","l_stemp","ndvi","rainfall","soil_moisture","solar_rad","wind_force"
2018,"Season A","Bugesera","banana",31707.35,4741.34,22.76,782.25,0.06,57.01,24.37,0.16,86.28,0.31,339.72,-0.86
2018,"Season A","Bugesera","banana",5171.67,1685.41,22.76,782.25,0.06,57.01,24.37,0.16,86.28,0.31,339.72,-0.86
2018,"Season A","Bugesera","banana",33314.41,6560.46,22.76,782.25,0.06,57.01,24.37,0.16,86.28,0.31,339.72,-0.86
2019,"Season A","Bugesera","banana",71692,12881,21.86,784.17,0.12,65.41,23.22,0.14,118.8,0.49,340.76,-0.61
2020,"Season A","Bugesera","banana",21892.31,4455.2,13.01,776.83,0.13,61.13,23.8,0.12,88.3,0.4,340.07,-0.66
2020,"Season A","Bugesera","banana",6038.21,1614.2,13.01,776.83,0.13,61.13,23.8,0.12,88.3,0.4,340.07,-0.66
2020,"Season A","Bugesera","banana",16238.46,5055.89,13.01,776.83,0.13,61.13,23.8,0.12,88.3,0.4,340.07,-0.66
2021,"Season A","Bugesera","banana",22431.5,4440.91,16.61,793.77,0.22,64.41,22.93,0.05,110.5,0.35,338.56,-0.37
2021,"Season A","Bugesera","banana",6086.05,1585.1,16.61,793.77,0.22,64.41,22.93,0.05,110.5,0.35,338.56,-0.37
2021,"Season A","Bugesera","banana",15875.88,4972.89,16.61,793.77,0.22,64.41,22.93,0.05,110.5,0.35,338.56,-0.37
2018,"Season A","Bugesera","beans",7330.1,11080.97,22.76,782.25,0.06,57.01,24.37,0.16,86.28,0.31,339.72,-0.86
2018,"Season A","Bugesera","beans",3701.06,5635.85,22.76,782.25,0.06,57.01,24.37,0.16,86.28,0.31,339.72,-0.86
2018,"Season A","Bugesera","beans",72.02,190.73,22.76,782.25,0.06,57.01,24.37,0.16,86.28,0.31,339.72,-0.86
2019,"Season A","Bugesera","beans",4522,10585,21.86,784.17,0.12,65.41,23.22,0.14,118.8,0.49,340.76,-0.61
2020,"Season A","Bugesera","beans",12556.46,17645.13,13.01,776.83,0.13,61.13,23.8,0.12,88.3,0.4,340.07,-0.66
2020,"Season A","Bugesera","beans",108.03,140.3,13.01,776.83,0.13,61.13,23.8,0.12,88.3,0.4,340.07,-0.66
2021,"Season A","Bugesera","beans",14682.96,21067.5,16.61,793.77,0.22,64.41,22.93,0.05,110.5,0.35,338.56,-0.37
2021,"Season A","Bugesera","beans",7372.58,10588.05,16.61,793.77,0.22,64.41,22.93,0.05,110.5,0.35,338.56,-0.37
2021,"Season A","Bugesera","beans",62.19,108.61,16.61,793.77,0.22,64.41,22.93,0.05,110.5,0.35,338.56,-0.37
2018,"Season A","Bugesera","Cassava",26777.56,6464.42,22.76,782.25,0.06,57.01,24.37,0.16,86.28,0.31,339.72,-0.86
2019,"Season A","Bugesera","Cassava",25833,7304,21.86,784.17,0.12,65.41,23.22,0.14,118.8,0.49,340.76,-0.61
2020,"Season A","Bugesera","Cassava",15188.5,6778.62,13.01,776.83,0.13,61.13,23.8,0.12,88.3,0.4,340.07,-0.66
2021,"Season A","Bugesera","Cassava",15560.97,7661.38,16.61,793.77,0.22,64.41,22.93,0.05,110.5,0.35,338.56,-0.37
2018,"Season A","Bugesera","irish_potatoes",402.85,171.54,22.76,782.25,0.06,57.01,24.37,0.16,86.28,0.31,339.72,-0.86
